  PID TTY           TIME CMD
  909 ??         0:19.60 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -childID 2 -isForBrowser -prefsLen 82 -prefMapSize 198517 -schedulerPrefs 0001,2 -parentBuildID 20181030165643 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appdir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/ywatanabe/Library/Application Support/Firefox/Profiles/af3evula.default 862 gecko-crash-server-pipe.862 org.mozilla.machname.1007354701 tab
  910 ??         0:28.84 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -childID 3 -isForBrowser -prefsLen 122 -prefMapSize 198517 -schedulerPrefs 0001,2 -parentBuildID 20181030165643 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appdir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/ywatanabe/Library/Application Support/Firefox/Profiles/af3evula.default 862 gecko-crash-server-pipe.862 org.mozilla.machname.1841618778 tab
  911 ??         1:29.03 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -childID 4 -isForBrowser -prefsLen 4214 -prefMapSize 198517 -schedulerPrefs 0001,2 -parentBuildID 20181030165643 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appdir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/ywatanabe/Library/Application Support/Firefox/Profiles/af3evula.default 862 gecko-crash-server-pipe.862 org.mozilla.machname.1801111872 tab
  943 ??         0:36.85 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -childID 5 -isForBrowser -prefsLen 4214 -prefMapSize 198517 -schedulerPrefs 0001,2 -parentBuildID 20181030165643 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appdir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/ywatanabe/Library/Application Support/Firefox/Profiles/af3evula.default 862 gecko-crash-server-pipe.862 org.mozilla.machname.499895214 tab
  944 ??         0:00.11 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  945 ??         0:00.11 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
  988 ??         0:00.78 /System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
 1014 ??         0:00.11 /System/Library/CoreServices/mapspushd
 1061 ??         0:00.02 /usr/libexec/spindump_agent
 1062 ??         0:00.06 /System/Library/CoreServices/SubmitDiagInfo server-init
 1095 ??         0:01.03 /System/Library/CoreServices/cloudphotosd.app/Contents/MacOS/cloudphotosd
 1096 ??         0:00.26 /System/Library/PrivateFrameworks/CloudPhotoServices.framework/Versions/A/Frameworks/CloudPhotosConfigurationXPC.framework/Versions/A/XPCServices/com.apple.CloudPhotosConfiguration.xpc/Contents/MacOS/com.apple.CloudPhotosConfiguration
 1098 ??         0:03.65 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Support/photolibraryd
 1099 ??         0:00.14 /System/Library/CoreServices/ScopedBookmarkAgent
 1100 ??         0:00.19 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Frameworks/PhotoLibraryServices.framework/Versions/A/XPCServices/com.apple.photomoments.xpc/Contents/MacOS/com.apple.photomoments
 1101 ??         0:02.65 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
 1108 ??         0:00.06 /System/Library/PrivateFrameworks/PhotoLibrary.framework/Versions/A/XPCServices/com.apple.PhotoIngestService.xpc/Contents/MacOS/com.apple.PhotoIngestService
